sequence,label
新手求推荐想入手一台价格4000-5000一下的华硕笔记本 综合性能好 支持多数大型游戏的 求各位大神推荐,0
请推荐下有K5的厚道商家本人江苏，请推荐下宾得专卖的厚道商家，本人最近想入手，先感谢了。,1
A33m A85 1105 A37t A31t 升级包 解账户号锁 维修推荐最新刷机教程，今天要给大家讲解的是线刷教程，主要是教大家用A33m A85 1105 A37t A31t 原厂官方系统刷机，A33m A85 1105 A37t A31t 解账户锁，A33m A85 1105 A37t A31t 定屏死机，A33m A85 1105 A37t A31t 卡顿发热,2
"最近想买支三脚架，求推荐一款物美价廉的，预算有限，呵呵。淘宝上看了三款，伟峰6663a，170元；伟峰FT684T+6664H，270元；维特利3080,240元，都是套装。（实物一个没见过）。用过的前辈帮忙推荐一下，本人实在是外行，或者有其他更超值的，一定不吝赐教啊。",1
平时旅游拍拍照片，求高手推荐一款相机。。价格2000左右就行。。平时旅游拍拍照片，求高手推荐一款相机。。价格2000左右就行。。,1
求推荐淘宝是可靠港行富士hs50有谁在淘宝上买过这个相机，介绍一下，我在网上看花了眼啦,1
求推荐。x9和x9s哪款划得来一点。从x9和x9s里面选择，哪款手机相对来说更好。平时会玩会王者。,2
大家有好用的非全屏钢化**推荐吗全屏的很容易进灰，非全屏的又怕贴了有白边，期望有人能推荐一个小一号的非全屏钢化**。,2
2500元便携长焦相机推荐？2500元左右便携长焦相机，哪一款相机性价比高，广角、长焦、高清都可以的有哪几款，你最推荐的是哪一款？,1
大家推荐升级吗 x7求反馈谢谢大家啦,2
华为有抢红包助手吗？求推荐一个好用的如题，谢谢有的给我推荐一下～,2
刚在官网付款，大家给推荐个无线鼠标，谢谢买了Y460A IFI i5，430，灰色的 5399，价格可以么，本来想等450的机器，老等不来，心思贵了500就买430吧没包鼠，有个朋友给的华硕的包，反正我也不常带出去现在大家给推荐个好点的无线鼠标吧，我玩游戏用谢谢,0
求推荐笔记本电脑！大一新生， 学java和ps，游戏的话只玩玩实况足球， 能推荐一款笔记本吗， 价位6000左右。,0
明天打算去买 硅脂 请大家帮忙推荐很好的硅脂 和介绍下如何辨别真假硅脂明天打算去买 硅脂 请大家帮忙推荐很好的硅脂 和介绍下如何辨别真假硅脂,0
哪位大神有好的SSD求推荐一下！看中两款硬盘，不知道选哪个？还有没有别的性价比高的推荐？,0
D7000为凑焦段求长焦推荐，70-300 还是 70-300 vr？如题，新人新机，由于感觉旅游时套头焦段有些短，希望能够如一个长焦，根据手头经济状况，看上了70-300。只是不晓得是否应该选择带防抖版本。所以特别请教各位射友，300端无防抖是否端得住？两个头的成像效果差距有,1
#尼康鸟类作品赏析# 【鸟语花香《六》】 （老阿推荐）1器材:NIKON D5100镜头:AF-S DX VR Nikkor 55-300mm 4.5-5.6G ED时间:2015-02-23 10:30:06.70快门:1/500光圈:F/5.6焦距:300毫米感光度:2002器材:NIKON D5100镜头:AF-S DX VR Nikkor 55-300mm 4.5-5.6G ED时间:2015-0,1
请各位大虾推荐一款相机想买一款相机自用，2000左右，最好外形靓丽，性价比高 推荐一下谢谢~,1
求推荐大学生用，求推荐一款性价比高的品牌价位在3000-4000,0
明天买电脑，求推荐现在5000左右高性价比笔记本！！！特别是显卡，看了论坛眼镜都花了，求达人推荐游戏本！！！！ 5000左右，跪谢！！！！,0
求大神推荐一台开剑灵五档的神舟笔记本电脑性比价高,0
推荐几款长焦相机价格在3000以下，最好有旋转屏。,1
支持蓝牙的无线网卡麻烦推荐下~想给K580S I7 D0换个，麻烦大神们给推荐下~,0
推荐一下显卡1500块左右和500到600左右的主板（大板） 感谢！！恳请各位大神给小弟推荐一下显卡1500块左右500到600左右的主板（大板）感谢！！,0
想买个相机 大家推荐下想买以个相机 预算在两千左右 之前同学介绍说佳能的性能比较好 照片拍出来也很好 然后推荐了IXUS115 和210 然后昨天我去苏宁电器看了下 说是停产了 还有索尼的wx7 和wx5c 貌似也停产了··之后我倒是看中了一款索尼h,1
1000元以下数码相机推荐目前已有越来越多的家庭拥有或准备购买数码相机，但因为对该产品的认识不足，消费者在购买时仍存在误区，主要问题是对各数码相机品牌中不同产品系列生产理念和适用人群区分不够清楚。潜意识中认为数码相机这类高端电,1
小城市买个小DV做婚庆录像用，大家推荐个机子~！（光学电子）初步选定是索尼cx210e 但是看参数不是光学防抖，，，，请问大家光学防抖是否对摄像特别重要？？？？ 电子防抖的可以做婚庆用吗？？？？？？？,1
5000左右的笔记本推荐、主要学习工作用、偶尔玩一些游戏、多开游戏的、商务学生党、,0
求推荐松下数码相机给朋友买。要求松下品牌的，1400~~2600元上下，画质细腻通透，12倍以上变焦，兼具长焦，广角，微距，有手动功能的。 我用的zs7不错，可惜已停产。,1
求大神推荐一款学设计的，想买一台4500左右用起来不卡的笔记本，求大神们推荐,0
玩gta5求推荐6000左右笔记本本人小白一个，求大神帮帮忙,0
请大侠推荐一款斜肩背带请大侠推荐一款斜肩背带，求连接。谢谢！,1
X909 R8107 X9077 R817 U707t 死机 原厂 线刷包 解话机锁 网点推荐最新刷机教程，今天要给大家讲解的是线刷教程，主要是教大家用X909 R8107 X9077 R817 U707t 原厂官方系统刷机，X909 R8107 X9077 R817 U707t 解账户锁，X909 R8107 X9077 R817 U707t 定屏死机，X909 R8107 X9077 R81,2
"请问, B173版本是否推荐升级395?买了就没有升级过, 今天發现有395, 是否有必要升级? 耗电状况和173比肿么? 其他功能上的改进, 是否有足够原因升级?",2
妹妹学设计，要买笔记本，望各位推荐下！我妹妹学平面设计，现在要买个本。希望大家給推荐下。3000—4000左右的本。就学习用，绘图什么的应该会多点。女生不打游戏。看各位能不能給推荐一款适合她的。,0
"求推荐一下电脑我想玩gta5,方舟进化等大型主机游戏，求推荐4000 -5000的笔记本电脑，不希望开高的配置，中等配置就行！谢谢！",0
器材选择困难，求大神推荐旅游爱好者，一年基本上国内国外经常转。以前基本背着不少于2个相机，一个单反，一个胶片。今年突然接触了朋友的一款运动相机，感觉超赞，觉得这样才算真的旅行啊看了很久的，现在有两个选择，大家帮忙看看吧，选择,1
K570N这本本不错，《电脑报》推荐了。（图）K570N这本本不错，《电脑报》推荐了。器材:佳能 A510[佳能数码相机]镜头:Unknown 5-23mm时间:2013-09-11 09:34:06快门:1/160光圈:F/4.0焦距:5毫米感光度:50,0
想给小5配个三脚架，给推荐一个吧这几天在淘宝上满世界的找，暂定就伟峰的330A，WT3730和WT3530，后两个黑色的要贵上一点，不过黑色看着感觉档次高点，哈哈，选哪个好呢？？ 主要还要考虑重量和大小的问题，哎，知道选哪个了。。。,1
哥们明天要求爬山旅游了 给推荐一下用那些镜头比较合适哥们明天要求爬山旅游了（组织安排 大概50人左右） 给推荐一下用那些镜头比较合适目前有的镜头有 17-40 50.1.4 24-70f4 70-200小白兔 都带上不方便 最好带2个头,1
新人买D5000，求推荐镜头仔细看了置顶的文章，貌似有些过期了，对市场也不太了解，请各位熟悉市场的老鸟推荐镜头，谢谢！ 个人喜欢成像锐利的镜头，画质优先。人穷，希望单个镜头不超过2000，必须带马达的，新人还不会手动 1。常用镜头，旅,1
内置无线网卡大神们有什么型号推荐一下？刚刚上船1个星期，对K580s大致了解以后，现在准备开始改造了。 先从蓝牙开始，可是找了好多都没有什么详细的.... 要求简单速率300M+蓝牙4.0,0
求推荐笔记本电脑我想买3800--4200的笔记本电脑，求推荐啊。最好是联想、华硕、宏基，本人更想买宏基，因为听说宏基的性价比最高。只要你们觉得好就行。求推荐,0
想给刚入手的Y400加个4G的内存，求推荐想给刚入手的Y400加个4G的内存，求跟原装内存完美兼容,0
华为手机铃声能不能设置一些推荐铃声啊本人喜欢多彩的铃音！,2
升到8.0后荣耀阅读推荐模块不能回到顶部。有和我一样問題的吗？,2
求推荐一部手机价格在1500-2000 玩游戏 看电视 主玩这两样,2
上班族新人 求推荐笔记本电脑上班族新人一枚，平时不玩电脑游戏，买了一个笔记本电脑纯为了办公，求各位老铁推荐一款实用商务笔记本。谢谢！,0
大家推荐一台编程本啊本人想买台本本，主要用于编程用，价位在4500以下，独不独显无所谓，比如说键盘用起来要舒服，内存要大点，项目跑起来较流畅就好，请有经验的朋友帮我推荐一下啊，什么牌子比较好，顺便说下型号啊，谢谢了,0
求大神推荐一个CF游戏本价格4000~5000 15.6寸 要求独立显卡。,0
小小米 6推荐手游我叫剑圣http://url.cn/4AAlniT1.性价比高，试问835旗舰机 2499价除mi6谁能买到?2.系统强悍，MIUI9 的闪电不是虚吹的， QQ秒开 分屏模式玩Q看电影一点不卡，这需要很好的后台优化才能驾驭的。3.人像模式不得不说真的可以，朋,2
有什么功能推荐？许多待发掘功能,2
各位大哥美女门？你们的相机是那里买的？推荐小弟啊。各位大哥美女门？你们的相机是那里买的？推荐小弟啊。 我在杭州的几个商场看了下。基本没有TZ15。偶尔有的话都是拆过的样品机。要不就是价格很高 那位大哥推荐一下。价格在2300以下。可以买到正品行货的地方。 或者,1
【浅秋】 另-----近期想买600D 求各位推荐指导 感激不尽器材:索尼 TX5[索尼数码相机]时间:2013-10-17 16:00:44快门:1/640光圈:F/4.5焦距:4毫米感光度:125器材:索尼 TX5[索尼数码相机]时间:2013-10-15 10:15:03快门:1/250光圈:F/3.5焦距:4毫米感光度:640器材:索尼 TX5[索尼,1
50D使用哪种闪光灯比较好？请各位大侠推荐个国产品牌的。原装的3000多太过昂贵了，闪光灯只作为一个附属配件使用，也用不了几次，只想买个国产的银燕或者永诺就可以了。,1
要换手机了求推荐最近要换手机，荣耀9和mate9看上去都还可以，两个在拍照和续航上差别肿么呢？买那一款更好许多？,2
拍照清晰画质细腻价格3000元左右。那位老师知道是哪款相机给推荐下好吗。1佳能sx50 用不到一年。 摄像效果太差。 现在换索尼hx300。 拍照效果太差。 有谁 知道哪款相机拍照清晰画质细腻呀。,1
我决定买hx100了，请有网购这款机子的推荐一下啊。以前没有网购过，因为担心很多。现在想尝试网购，请有网购这款机子的推荐一下啊。多谢。,1
想买个笔记本，四千到五千的游戏本，求推荐个人不懂电脑想买个笔记本玩游戏的主要玩lol和cf，大神们推荐下哪一款好点？四千左右吧,0
新手 想入一款性价比高的闪光灯 kx用，望推荐一二如题，学生一名，想学习使用闪光,1
各位大神，Acer V5性能如何？有没有好的店推荐购买？看上了V5，暂时对它的性能没有很具体的感官，只是很喜欢它的外观，另外，有没有大神推荐一下，哪里购买会比较好，是实体店还是网上购买？求具体地址或者链接！,0
想买a550jk4200啊，不知道哪里有货，求推荐。。。。求推荐。。。。。。。。,0
"装备求推荐，主要拍微距，预算4000以内RT,现在有部EPL5，想问问如果要拍到瓢虫这样的微距效果应该怎么装备？是入手个M43头还是买个卡片机，还是什么近摄镜什么的？",1
pro+6P哪里买正品又廉价，求煤油推荐魅族官网跟某东价格都不降，无奈手机坏了来说说手机本身，机身大小比苹果6大一丁点，金属磨砂和苹果稍有区别，屏幕玻璃手感很滑，2.5D玻璃和机身配合很好，屏幕玻璃和腰圆键间无割裂感，手感不错，整体挺有份量，背,2
给大家推荐一个好的兼职，绝对正规可靠哦~~前几天上网的时候偶然间看到好朋友发了一条状态， 说自己正在做兼职，一天就挣了100多块。我那个羡慕啊，于是就问她怎么做的，她也不吝啬就教给我了。我自己做了几天感觉确实不错，也赚了点钱。也想分享给大家~我具,1
求大神推荐显示器剁手节 想换个 27寸到30寸的曲屏显示器 求大神推荐一下,0
想买个游戏本，大家有推荐的吗？小弟最近想买个游戏本本，不知道买哪个牌子好。有大神知道的吗？可以向我推荐一下吗？,0
请帮忙推荐个挂机头决定8月中旬入手佳能60D，请大家帮忙推荐个挂机头，主要拍风景和人像。适马17-70mm f/2.8-4 DC Macro OS HSM ，腾龙B005，腾龙A16，佳能15-85，佳能17-85哪个效果及性价比好点。谢谢大家！,1
准备入kr坛友们推荐下 经济实惠的 标头和广角不准备入套头，准备入一标头和一广角，坛友们推荐下，经济实惠为好，无米啊,1
求推荐碎屏险我买不了官方的碎屏险，过期了，求推荐碎屏险,2
请各位高手帮推荐一个拍箱包皮鞋特写镜头，祝圣诞快乐！！！器材：宾得K-r套机(18-55mm AL) 淘宝拍 皮鞋手包 提包特写 请各位高手帮推荐一个 价廉物美 的镜头，谢谢！,1
推荐尼康一般家用的卡片机，一千左右的！帮忙推荐一般家用的尼康卡片机！要求只要清楚就可以了！不需要长焦的，最好广角的！谢谢了,1
大佬给推荐个游戏本5000左右的,0
求推荐想买个笔记本，4500左右，不常玩游戏,0
A51 R821t_A A33 R820 N5117 线刷包 修复循环重启 实测推荐最新刷机教程，今天要给大家讲解的是线刷教程，主要是教大家用A51 R821t_A A33 R820 N5117 原厂官方系统刷机，A51 R821t_A A33 R820 N5117 解账户锁，A51 R821t_A A33 R820 N5117 定屏死机，A51 R821t_A A33 R820 N5,2
想入手个本本，朋友们帮忙推荐推荐第一次买本，不知道买什么样的好。平时玩魔兽世界。对显卡应该有点要求吧。最好是酷睿2以上的CPU。5000元以内吧~~~顺便问下，在网上买笔记本能行么？,0
4500左右的笔记本，那几款笔记本性能最好，麻烦各位大神推荐一下4500左右的笔记本，那几款笔记本性能最好，麻烦各位大神推荐一下！谢谢！,0
想买一个数码相机，价位在1000-1600的都可以，麻烦大家推荐下!本人在网上看了N多论坛和评论现在也麻木了呵呵。麻烦大家推荐一个性价比高的，另外功能主要是全景扫面拍摄，电池坚持时间长，支持摄影，其他没什么了。谢绝佳能谢谢！！！,1
啊哈、求推荐鼠标。买小Y是送的鼠标今天终于好像挂了，。右击不灵了。3年了。求推荐个性价比鼠标不要太贵。耐用即可。。。,0
推荐一下本人想买一个笔记本 平时上上网 打打游戏看视频推荐一下哪一个值得入手 价格是在六千块钱一下。麻烦那位大神说一下 在这里谢过了。,0
求推荐手机~~1000-2000！现在看的有小米5，荣耀畅玩6X，荣耀8青春版，荣耀8，ZUKZ2，360N5。主要用途是浏览网页，游戏，听歌。相机使用频率不多。常用导航，需要GPS准确快速。、谢谢大神了~~！,2
彪悍的小y硬盘太小了想买个移动硬盘求推荐！听说标题要长。。。。。。。。。。1t的大家帮推荐下！谢谢,0
更换cpu求推荐不换机，只升级，更换什么cpu比较好？2960xm有没有必要？内存硬盘也打算升级，需要换电源吗,0
请各位大侠给推荐性价比好的定焦头呗～～新入手5n，请各位大侠给推荐性价比好的定焦头呗～～据说50mm的焦段是最好的，菜鸟求助！,1
当代文学巨著，强烈推荐阅读。 读史可以明智，读史就是读人心。 小人物小用，当代文学巨著，强烈推荐阅读。 读史可以明智，读史就是读人心。 小人物小用，大人物大用。,2
神舟有没有性价比高的17.3寸游戏本推荐？？？了解的说说呗！！！！！！！！！！！！！,0
想给590买电池。。大家推荐下吧想给590买电池。。大家推荐下吧,1
推荐给大家一个降噪滤镜 效果很不错器材:索尼 A550[索尼数码相机]时间:2010-11-14 11:14:19快门:1/250光圈:F/5.6焦距:210毫米感光度:1600ISO1600经过处理一下 画面纯净多了 滤镜下载地址 http://www.vdisk.cn/down/index/4773418A4048,1
d750高感表现可圈可点值得推荐平安夜拍了几张，为了看d750的高感，我那sb910竟受到冷板凳的待遇。舞台灯光混乱，明暗反差太大，色彩瞬间万变，演员动作很大，抓拍非常困难。距离太远有25米开外，总共拍了200张，有十几张糊片但均为演员动作所为，,1
五千左右的本本，有没有好的推荐比较喜欢联想和华硕的牌子,0
求大神推荐一款i5处理器 4G内存 500-750G硬盘 2G独显 价钱在3000-3700之间的。求大神推荐一款i5处理器 4G内存 500-750G硬盘 2G独显 价钱在3000-3700之间的。 求~~~~~~~~~~~,0
打算明天在毒毒那入手三星的内存，现先求一套100-150RMB的无线键鼠，大家给推荐推荐。键鼠主要是用来游戏和工作的，最好轻巧一点但不失手感哈。 没有合适的无线套装推荐也可以推荐个有线的，但一定要轻巧哟！ 等内存入手了在给大家发个评测哈。。。。,0
马上上飞机了，想航拍买个DV，求推荐！马上出国学飞行了，想入个DV以后航拍用，小飞机大概500~1000米高空，求推荐款DV，5000以内吧，哪个性价比高点？,1
发几张AV105的片子PS前后对比，推荐大家拍的照片还是应该P一下发几张AV105的片子PS前后对比，推荐大家拍的照片还是应该P一下 器材:FinePix AV105时间:2010-06-08快门:1/140光圈:F/2.9焦距:5毫米感光度:100 器材:FinePix AV105时间:2010-06-08快门:1/140光圈:F/2.9焦距:5毫米感,1
入手SX50，等收件ing。。。收货补附件照片，另请大侠推荐个三脚架昨天下的单，希望1212不要降得太快，哈哈，明天是不是能到手哦。。。在楼下上了全家福，忘了上附件了，补上请鉴定。目前还差一个三脚架，想入手300左右，折叠起来尺寸比较短的，哪款比较好？感觉选三脚架比选相机还,1
各位大大给小弟推荐个三脚架呗！！！！！！！！！！！！！！！！！！！！450D套机，打算一个人带着它去爬山，需要个轻便的三脚架，价格300一下，轻便为主（最好在1KG左右），稳定性够用就行，本人180cm，三脚架的高度也不能太低。在淘宝上看了好多比较轻便的，但不知道稳定性是否够用，有,1
请帮忙推荐机子本人想买华硕本本要求是13寸的，（ 16：10） 处理器不低于T6600 独立显卡2G/320G 那位大虾帮忙推荐几款 ？ 谢谢！本人想买华硕本本要求是13寸的，（ 16：10） 处理器不低于T6600 独立显卡2G/320G 那位大虾帮忙推荐几,0
"我想买个千元左右的数码相机,锁定松下和富士,不知有没有高手推荐个型号想要这样效果的,我知道理想很丰满,现实很骨感,我只要千元左右的肯定没有这么好的效果啦. 但只想要就是服装和人物拍出来都美丽的,有画面感. 微距之类的还有什么功能我不在意. 请帮助推荐款哈,急于购买.",1
有什么好的刷机包推荐一下有什么好的刷机包推荐一下,2
问下，哪个bios版本最稳定最好？？？求大家给个推荐！请大家给我个推荐啊。。。。。多谢了。我现在还在47版本，由于内存显示不到3G，所以要更新。,0
A31u_16G R813T A73 R7st R811 卡机 官方 升级包 修复花屏 售后推荐最新刷机教程，今天要给大家讲解的是线刷教程，主要是教大家用A31u_16G R813T A73 R7st R811 原厂官方系统刷机，A31u_16G R813T A73 R7st R811 解账户锁，A31u_16G R813T A73 R7st R811 定屏死机，A31u_16G R813T A7,2
谁给推荐一款长焦机？偏重于微距和风景在论坛上逛了很久了，一直想找一台心仪的长焦机，单反咱能力有限，暂不考虑。我喜欢风景和微距，想要一台成像好的。原先相中了富士205，就因为它微距成像不错，再一个长焦端桶形畸变率相当的不错，噪点也还行。怎奈,1
求各位大大推荐本本RT 求推荐 6000元以下 配置好点的最好了 当然 I芯我最爱 大品牌最好哇 谢谢各位大大了,0
请大家推荐一款适合小5的uv镜新入的小5配哪款uv镜比较好，求推荐，谢谢,1
求推荐可以原装双硬盘的机器就是带msata m.2 ngff 接口?求推荐可以原装双硬盘的机器就是带msata m.2 ngff 接口?想装 一块机械硬盘和 一块 固态硬盘 但是不想拆光驱 折腾以前 买的 联想昭阳 k系列 好像支持最早是msata 接口 现在好像改成m.2接口是不是 还有 别的 最新技术?,0
过年碎了屏 有没有大佬推荐在哪可以修的都这样子 有修过的吗,2
"推荐点机型啊，大一新生，要求笔记本，预算4800-5900，能玩lol,守望，虐杀，.. 偶尔画画图，搞搞ppt啊，散热ok就行 给推荐几种机子啊，跪谢，.",0
请帮忙推荐个LX3的三角架刚买了个小三，想配个三角架，不知道该选哪种。请帮忙推荐下。主要需求是便携。美达斯CT-15-8C八节铜管三脚架、云腾668和金钟Super Light(超轻派)这几种如何？,1
"2018“春色满园”婺源四天摄影创作团婺源的油菜花就是这样一种意韵。婺源被誉为""中国最美的乡村"",婺源最美的季节是油菜花开放的时候。余邵诗云：“油菜花开满地黄，丛间蝶舞蜜蜂忙；清风吹拂金波涌，飘溢醉人浓郁香”。油菜花成为吸引观光的最佳绿色资",1
小白一枚。 求推荐电脑女生第一次买本子，什么都不知道就想要买台不是很卡的，散热好一点的，不要特别丑的本子。就看看电影玩玩游戏。也不玩大型3D游戏。预算的话在3000左右。求各路大神帮忙，今天就去买了。急求推荐,0
求推荐华硕本本 14～15.6寸用途cad pro/e ps 后期制作 不玩游戏 预算4500,0
想换部手机求推荐2000左右的手机，,2
求大神推荐一款两千五左右的游戏主机。跪谢苦逼学生党需要一款性价比高的游戏主机，求大大们d推荐一款。,0
2016年最值得买的运动手表推荐买错别后悔你一定也有这样的体会，很多人在填写简历时，总喜欢在爱好一栏写上：运动，你以为你每天这么动动手脚就是“运动”？运动有专业讲究，其实有些人连入门都没有。就说，最近正秋高气爽、秋意盎然，正是运动和旅游的好时,0
帮我推荐一款1万左右的14寸笔记本帮我推荐一款1万左右的14寸笔记本 谢谢了 给个具体参数 或者参数连接,0
老铁们求推荐老铁们推荐几款性能好的游戏本,0
请大家推荐下相机。1012快坏掉了！多谢！用了四五年吧。摔过一次。现在不行了。想换相机其间淘宝上入手过佳能的两个（佳能 IXUS 500 HS，PowerShot SX240 HS)尼康的一个(s6300)！但是效果感觉都不如1012！请大家推荐下画面像1012这样色彩明亮。通透，艳丽，,1
请各位高手推荐机型各位前辈好，小弟新手，想入手一款家用相机，偶尔外出拍拍风景，不知哪个相机操作简单，对焦快，成像好，价位2000左右，牌子不限，谢谢啦！,1
"想换掉18-105套头, 换个能拍微距的常挂头~求推荐~想换掉18-105, 它拍微距烂爆了!!精度烂的一塌糊涂, 细节根本没法看!!我平常会在商品摄影棚里拍货, 想说让各位大大帮我推荐一个又能拍微距商品细节, 又能当常挂头的变焦头~~有考虑尼康16-85(价格适中, 焦段常用) 尼康",1
京东断货了，麻烦大家推荐个正品行货的淘宝店京东，新蛋都断货了，麻烦大家推荐个正品行货的淘宝店。淘宝电器城上卖的是不是正品啊？,1
高手忙帮推荐个本儿男士用 主要作图 3DMAX 价位别超过4500 已经有个台式的了 麻烦各位推荐几款比较 如果价位合适 明后天就给它拿下,0
高三毕业上大学，准备买一台笔记本，各位推荐推荐要上大学了，买电脑，预算4000～5000，喜欢thinkpad，各位有什么好的建议？,0
五一想入手1500左右卡片 求推荐！松下ZS5GK 和 富士F305 综合性那个好！ 还有其他更不错的选择吗？求推荐,1
7200配16.85镜头还是18.200镜头，帮忙推荐一下，谢谢7200配16.85镜头还是18.200镜头，帮忙推荐一下，谢谢,1
想买相机皮套，求推荐想买相机皮套，求推荐。有谁买过，那种的好些？大概多少钱,1
60D+yn560ii，求各位大神推荐个好用实惠的引闪器入了个yn560ii，想玩单灯人像，还没有配引闪器，灯架及柔光伞等~求各位大神推荐个好用实惠的引闪器，最好是自己用过得哦~,1
购机 求推荐想入手一台4000大洋左右 i5 用win7好用的机器，因为看到不少人评价说预装win8或8.1的用win7卡,0
求推荐一个旅游头，要便宜的，转接老手进了本人想买一个便宜的旅游头，原厂18-200太贵了。 看上了一个腾龙的18-200 大概1300，但好像不能调光圈。只好作罢。 请问下谁还知道能转接的旅游头？麻烦推荐下了，谢谢了。,1
【【【【【真的要讨论下，麻烦推荐下类似360或金山卫士的安全辅助软件？】】】】】】下午没事干，把360卸了. 越看越不爽，试了下金山卫士.. 我勒个去.. 开机速度跟龟速没啥两样.. 也占我运存。。。（对了，我不是啥水军也不是啥5毛7毛党）.. 搞了半天才把金山卫士卸载了. 想着又不行，再去下载了个金,0
1500元全面屏+高性价比手机推荐 你要的吃鸡神器都在这里随着技术的日益成熟，今年全面屏已由非高端不配逐渐普及到了千元市场，尤其是1500元价位，更是出现了不少性能强悍，表现优异的高性价比机型，足以满足大部分手机用户既面子又要畅爽吃鸡的需求。360手机N6 Pro官方售,2
求推荐一个相机，我看上了SX50 HS 这个行么？偶尔出去旅游什么的带单反太沉了，我也不是专业的摄影师，看中SX50 HS了，这相机咋样？,1
求大神推荐一款本本5K左右，主要办公用，不玩游戏，偶尔看看视频,0
想购置一个小巧的卡片机随身携带，1500以内，求推荐~~完全不知道怎么选 现在手里有一部富士的T305 红圈超薄款，10倍变焦，但是防抖效果比较弱，颜色不差些，计划500元转。 目前看上奥林巴斯（OLYMPUS） VG-170 大家有啥推荐？还有求高人指点，怎么选卡片机？,1
请推荐一个 背景虚化好，成像较佳，零售价800元以内，适合500D的镜头，谢谢大家都说500D套机的镜头，不适合拍 要求背景虚化较好 的人像 那么，请推荐一个背景虚化好，成像较佳，的人像镜头，谢谢。 请给出二款，以备选择,1
产品摄影万元级配置推荐想买一台用来拍摄产品（化妆品）。 机身看中了d90 不知道镜头该怎么选？,1
魅友们有什么好用的手机推荐一下MX6刚刚摔坏了屏幕外屏想去修又很麻烦自己又换不了外屏实在是无奈啊想买一加5但是屏幕又是辣眼睛屏幕还没有光学防抖但是个人喜欢前置指纹请魅友推荐一款适于的手机,2
华为应用市场，搜索不到应用，标签为推荐页时显示有问题周围用华为的也是这样，大家看看是不是也这样呢？这个原来不是我的手机问题，害的我重置手机。,2
有没有好的刷机包推荐。主要是无线网讯号肯定要好。试过sy的rr讯号不行。和1.27的讯号一样差。我快疯了。要不是蚂蚁宝卡还能能用都疯了。,2
5000左右预算，求推荐笔记本工业设计学生，要求能用PS，游戏的话偶尔打打dota2，能开中等特效就好,0
现在机子续航真心不行了，换电池有啥推荐？如题，暂时不想换机子,2
想送媳妇一本本，求推荐！想送媳妇一本本，3000到4000的，只相信华硕的品质，求大神推荐！,0
R829T R821t_A R15 A11 R813T 黑屏 维修 升级包 解屏幕锁 网点推荐最新刷机教程，今天要给大家讲解的是线刷教程，主要是教大家用R829T R821t_A R15 A11 R813T 原厂官方系统刷机，R829T R821t_A R15 A11 R813T 解账户锁，R829T R821t_A R15 A11 R813T 定屏死机，R829T R821t_A R15 A1,2
想买个闪光灯，求推荐初入门，想买个副厂的闪光灯玩玩，要求支持70d的机内无线引闪，有什么好推荐吗？,1
求推荐程序员的笔记本，5000-7500价格：5000-7500屏幕：要好点，不然天天盯着会眼睛不舒服吧存储：要有SSD吧，不然运行程序什么的会比较慢键盘：手感最好好点咯，不然敲起代码不顺畅啊CPU：肯定要不好点吧看中了Thinkpad 的T440P 或 T450单据说 屏幕,0
R821t_A A53t R9sk R831S R2017 黑屏 维修 升级包 解定屏 维修推荐最新刷机教程，今天要给大家讲解的是线刷教程，主要是教大家用R821t_A A53t R9sk R831S R2017 原厂官方系统刷机，R821t_A A53t R9sk R831S R2017 解账户锁，R821t_A A53t R9sk R831S R2017 定屏死机，R821t_A A53t R,2
大家推荐一款实惠的相机包啊！最好是淘宝！如题，大家分享下自己用的相机包啊！不要太贵的，100左右，质量不错，好用的就可以了,1
想买个人像定焦头，推荐一下想选个人像定焦头，银子有限，我只是新手，还需请教，手动头好用吗，买什么样的性价比高我像华光，凤凰或其他，推荐一下,1
本人不懂笔记本请友友们帮忙推荐个品牌哪个好本人不懂笔记本请友友们帮忙推荐个品牌哪个好？我的预算大约6000元内。我前几天买了部联想Y471A的苏宁买5100米。第一台本本拿回来发现播放音乐的时候有杂音去找苏宁换了个可是第二台还是有七月二十五开始和联想苏宁,0
大家推荐几款戴尔的机器请大家推荐几款价位在6000-7000的机器 主要用于工作会计什么的,0
取消了10P订单，要是你们，推荐我换什么机子阿果断对华为没信心了，官网下了订单，果断取消了，但是我该买什么机子呢？被坑的花粉老用户们给推荐下呗,2
5R 想入个50定 预算1千以内 E50 求推荐5R 想入个50定 预算1千以内 5R 求推荐！求分析！ 看多了眼花！ 那个的大光圈比较锐 焦外不错？太苦玛50 1.4雅西卡50 1.4佳能 50 1.4美能达50 1.4 尼康50 1.4E501.8 现在多少？有别的也可以推荐！谢谢！,1
求助大神们，推荐下游戏本求购一个5000左右的游戏本，大神们推荐下，谢谢了,0
#版主坐堂# 索尼 ILCE-7R摄影论坛16-11月份部分单张精华作品推荐现将本月精华帖中影友点赞与评价最多的单张作品编辑出来（不包含我本人的作品），推荐给大家。这部分作品谨代表个人评选意见，如有不妥之处还请多谅解，感谢各位摄友和老师们对索尼ILCE-7R论坛的支持和关注，欢迎摄,1
没有买套头，现在觉得不方便，请推荐一款比套头好性价比高的变焦头没有买套头，现在觉得很不方便，请推荐一款性价比高的变焦头，本人不是烧头的人，希望一镜走天下。或者还是买套头呢？,1
