id,产品类型,价格,传感器尺寸,传感器描述,传感器类型,型号,快门类型,显示屏类型,最高分辨率,有效像素,tags
219,,即将上市,4/3画幅（15.5*11.6mm）,,Live MOS,松下LX100M2,机械电子快门,高清屏,4112×3088,1700万,
220,高端单反,2.25万,全画幅（36*24mm）,自动，手动，添加除尘数据,CMOS,佳能5D Mark III套机(24-105mm),电子控制焦平面快门,高清屏,5760×3840,2230万,使用体验 使用 操作 操控性 可玩性 蒙皮 风格 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 菜单功能 按键 功能 工艺 做工 设计 手感 触感 握感 握把 握持 质感 手柄
221,消费，卡片,概念产品,1英寸,,,佳能G7 X Mark III,,,,2000万,
222,中端单反,7099,APS画幅（22.3*14.9mm）,"长宽比 3:2 
除尘功能：自动，手动，添加除尘数据",CMOS,佳能60D套机(18-200mm IS),电子控制纵走式焦平面快门,旋转屏，高清屏,5184×3456,1800万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 手感 触感 握感 握把 握持 质感 手柄 操作 操控性 可玩性 工艺 做工 设计
223,高端单反,2.64万,全画幅（35.9*23.9mm）,,CMOS,尼康D850套机(24-120mm f/4G ED VR),电子控制纵走式焦平面快门,触摸屏，旋转屏,8256×5504,4575万,噪音 声音 手感 触感 握感 握把 握持 质感 手柄 菜单功能 按键 功能 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 工艺 做工 设计 追焦 追踪
224,微单,3699,22.3×14.9mm,APS-C画幅,CMOS,佳能EOS M10套机(15-45mm，55-200mm),电子控制焦平面快门,TFT彩色液晶监视器,,1800万,手感 触感 握感 握把 握持 质感 手柄 工艺 做工 设计
225,消费,4030,（1/2.3）英寸,背部入射式CMOS影像传感器,CMOS,尼康A1000,机械和CMOS电子快门,触摸屏，翻转屏,4608×3456,1604万,
226,微单,1.94万,APS-C画幅（23.6*15.7mm）,长宽比为3:2,,徕卡CL,电子快门,触摸屏,6014×4014,2424万,
227,中端单反,6150,APS画幅（23.5*15.6mm）,,CMOS,宾得K-3II,,,6016×4000,2400万,操作 操控性 可玩性
228,消费，卡片,2498,1/2.3英寸,,MOS,松下ZS70,电子快门,触摸屏，旋转屏,,2030万,
229,微单,1899,APS画幅（23.2*15.4mm）,,Exmor APS HD CMOS,索尼ILCE-5000(单机),电子控制纵走式焦平面快门,翻转屏,5456×3632,2010万,外壳 机身 质地 手感 触感 握感 握把 握持 质感 手柄 菜单功能 按键 功能
230,微单,2.28万,35.9x23.9mm,图像传感器格式：FX,CMOS,尼康Z6套机(24-70mm，32GXQD),,翻转触控屏,,2450万,操作 操控性 可玩性
231,中端单反,5999,APS画幅（23.6*15.6mm）,除尘系统：清洁图像传感器，图像除尘参考数据（需要另购的Capture NX2软件）,CMOS,尼康D7000套机(18-200mm),电子控制纵走式焦平面快门,高清屏,4928×3264,1620万,操作 操控性 可玩性 工艺 做工 设计 手感 触感 握感 握把 握持 质感 手柄
232,微单,8499,全画幅（35.8*23.9mm）,,Exmor CMOS,索尼A7 II套机(FE 28-70mm),电子控制纵走式焦平面快门,旋转屏，高清屏,6000×4000,2430万,工艺 做工 设计 操作 操控性 可玩性 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 手感 触感 握感 握把 握持 质感 手柄
233,消费，卡片，长焦,1779,1/2.3英寸,,Exmor R CMOS,索尼HX60,,,5184×3456,2040万,防抖性 防抖 机震 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
234,消费，卡片，长焦,5099,1/1.7英寸,,CMOS,徕卡C(Typ 112),,,,1210万,菜单功能 按键 功能 外壳 机身 质地 携带 便携性
235,卡片,1789,1/2.3英寸,传感器光电检测器：2100万像素,背照式CMOS,索尼WX500,,高清屏,4896×3672,1800万,噪音 声音
236,高端单反,1.55万,全画幅（35.9*24mm）,清洁影像传感器，图像除尘参考数据（需要“捕影工匠”软件）,CMOS,尼康D810套机(24-120mm),电子控制纵走式焦平面快门，电子前帘快门（适用于反光板弹起释放模式）,高清屏,7360×4912,3635万,手感 触感 握感 握把 握持 质感 手柄 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 防抖性 防抖 机震 手握 持握 夜拍 感光 体积 厚度 噪音 声音
237,高端单反,6.99万,中画幅（45*30mm）,无低通滤波器：以数字处理方式消除摩尔纹,CCD,徕卡S,,高清屏,,3750万,手感 触感 握感 握把 握持 质感 手柄 工艺 做工 设计
238,消费，广角,3448,1英寸,,MOS,松下ZS110,机械电子快门,触摸屏,,2010万,操作 操控性 可玩性
239,消费，卡片,4599,1英寸,背面照射型,CMOS,佳能G5 X,,触摸屏,,2020万,操作 操控性 可玩性 工艺 做工 设计
240,,即将上市,4/3画幅,,Live MOS,奥林巴斯E-M1X(单机),,触摸屏，旋转屏,4608×3456mm,2037万,
241,,7300,1英寸,,CMOS,徕卡C-Lux,,触摸屏,,2010万,
242,微单,价格面议,APS-C画幅（23.6*15.7mm）,,CMOS,富士X-A3（单机）,电子控制纵走式焦平面快门,触摸屏，旋转屏,,2420万,
243,单电,6899,4/3画幅（17.3*13mm）,,Live MOS,奥林巴斯E-M5 II套机(12-50mm),电子控制焦平面快门,触摸屏，旋转屏，高清屏,4608×3456,1610万,结构 外形 外观
244,单电,3598,4/3画幅（17.3*13.0mm）,,Live MOS,松下GX85(单机),电子快门,触摸屏,4592×3448,1600万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素
245,微单,概念产品,35.9x23.9mm,图像传感器格式：FX,CMOS,尼康Z1,,触摸屏,,4575万,
246,,价格面议,,,,尼康D6,,,,,
247,中端单反,价格面议,,,,佳能7D Mark III,,,,,
248,长焦,即将上市,1/2.3英寸,,CMOS,尼康B600(单机),机械和CMOS电子快门,触摸屏,4608×3456,1602万,
249,入门单反,3580,APS-C画幅,,CMOS,尼康D3500套机(AF-P 18-55mm),,,,2400万,
250,高端单反,7898,全画幅（35.9*24mm）,清洁影像传感器、图像除尘参考数据（需要捕影工匠软件）,CMOS,尼康D750套机(50mm),电子控制纵走式焦平面快门,翻转屏，高清屏,6016×4016,2432万,手感 触感 握感 握把 握持 质感 手柄 菜单功能 按键 功能 外壳 机身 质地 工艺 做工 设计 体积 厚度 操作 操控性 可玩性 追焦 追踪
251,高端单反,7999,全画幅（35.8*23.9mm）,自动，手动，添加除尘数据,CMOS,佳能6D套机(50mm f/1.8 STM),电子控制焦平面快门,高清屏,5472×3648,2020万,
252,微单,4999,APS画幅（23.6*15.6mm）,传感器清洁系统：超声波振动,X-Trans CMOS II,富士X-E2套机(XF18-55mm),焦平面快门,高清屏,4896×3264,1630万,结构 外形 外观 工艺 做工 设计 使用体验 使用
253,消费，卡片，长焦，广角,1368,1/2.3英寸,,背照式CMOS,卡西欧ZR1500,机械电子快门,旋转屏，高清屏,4608×3456,1610万,携带 便携性 工艺 做工 设计
254,微单,3.77万,全画幅,,CMOS,徕卡Q-P,机械电子快门,TFT液晶屏,,2420万,
255,微单,2.78万,35.9x23.9mm,图像传感器格式：FX,CMOS,尼康Z7套机(卡口适配器 FTZ),,触摸屏,,4575万,携带 便携性
256,消费，卡片,2599,1/2.3英寸,,CMOS,尼康B700,机械电子快门,高清屏,5184×3888,2029万,手感 触感 握感 握把 握持 质感 手柄
257,卡片,2799,1/2.3英寸,传感器光电检测器：1820万像素,背照式CMOS,索尼WX700,,高清屏,4896×3672,1820万,
258,消费，卡片,1750,1/2.3英寸,,CMOS,佳能N2,,,4608×3456,1610万,手感 触感 握感 握把 握持 质感 手柄
259,微单,即将上市,中画幅,,,富士GFX 100,,,,100000000万,
260,微单,4699,APS-C画幅（23.6*15.6mm）,,X-Trans CMOS II,富士X70,电子快门,触摸屏，旋转屏,,1630万,
261,消费，卡片,569,1/2.3英寸,,Super HAD CCD,索尼W800,,,5152×3864,2010万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素
262,微单,9699,APS画幅（23.6*15.7mm）,,CMOS,徕卡T(Typ 701),,高清屏,4928×3264,1630万,操作 操控性 可玩性 工艺 做工 设计
263,微单,即将上市,全画幅（35.9*24mm）,,CMOS（支持全像素双核CMOS AF）,佳能EOS RP土豪金版,电子控制焦平面快门,触摸屏，翻转屏,6240×4160,2620万,外壳 机身 质地 携带 便携性 使用体验 使用 工艺 做工 设计 菜单功能 按键 功能 防抖性 防抖 机震
264,消费，长焦，广角,1999,1/2.3英寸,,背照式CMOS（BSI CMOS）,三星GC100,,触摸屏,,1630万,操作 操控性 可玩性 夜拍 感光 外壳 机身 质地
265,微单,4899,4/3画幅（17.3*13mm）,,4/3 Live MOS,奥林巴斯E-M10 III(单机),机械电子快门,触摸屏，旋转屏,,1610万,
266,微单,1.15万,,"带原色滤镜的23.5mm×15.6mm(APS-C) X-Trans CMOS 4
传感器清洁系统：超声波振动",CMOS,富士X-T3套机(XF 18-55mm),焦平面快门,触摸彩色液晶显示屏（约100％视野率）,,2610万,体积 厚度
267,消费，专业,1999,其它尺寸（2/3英寸）,,X-Trans CMOS II,富士X30,,翻转屏，高清屏,4000×3000,1200万,手感 触感 握感 握把 握持 质感 手柄 体积 厚度 工艺 做工 设计
268,高端单反,价格面议,,,,尼康D760,,,,2400万,
269,,1.54万,,,CMOS,徕卡X(Typ 113),,,,1600万,外壳 机身 质地 携带 便携性 结构 外形 外观
270,中端单反,6999,APS画幅（23.5*15.6mm）,,CMOS,尼康D7200套机(18-200mm VR II),电子控制纵走式焦平面快门,高清屏,6000×4000,2416万,手感 触感 握感 握把 握持 质感 手柄 操作 操控性 可玩性 重量 分量 结构 外形 外观 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
271,微单,7499,APS-C画幅（23.5*15.6mm）,,Exmor CMOS sensor,索尼A6400标准单镜套装（SELP1650镜头）,电子控制纵走式焦平面快门,旋转屏,6000×4000,2420万,
272,消费，长焦,1872,1/2.3英寸,,CMOS,尼康L840,,高清屏,4608×3456,1600万,
273,消费，长焦,1199,1/2.3英寸,,Super HAD CCD,索尼H300,,,5152×3864,2010万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 操作 操控性 可玩性 结构 外形 外观
274,入门单反,5439,APS画幅（23.5*15.6mm）,,CMOS,尼康D5600套机(18-140mm),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2416万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 菜单功能 按键 功能 外壳 机身 质地
275,微单，单电,4998,4/3画幅,17.3x13.0mm,Live MOS,松下GX9(单机),焦平面快门,触摸屏,,2030万,
276,入门单反,5790,APS画幅（23.5*15.6mm）,无低通滤光镜,CMOS,宾得K-S2(单机),电子控制纵走式焦平面快门,旋转屏，高清屏,,2012万,防水性 防尘 三防 防滑性 菜单功能 按键 功能
277,微单,1.49万,全画幅（35.9*24mm）,长宽比：3：2,Exmor R CMOS,索尼A7RII套机(FE 24-240mm),电子控制纵走式焦平面快门,旋转屏,,4240万,外壳 机身 质地 防抖性 防抖 机震
278,消费，卡片,6299,1英寸（13.2*8.8mm）,,Exmor RS CMOS,索尼RX100 VA,电子快门,旋转屏,5472×3648,2010万,
279,微单，无反,8790,APS画幅,"APS-C X-Trans CMOS 4
传感器清洁系统：超声波振动",CMOS,富士X-T30套机(XF18-55mm),机械快门,触控翻折屏,,2610万,
280,高端单反,10.45万,全画幅（35.9*23.9mm）,长宽比：3:2,CMOS,佳能EOS-1D X Mark II套机(400mm II IS),电子控制纵走式焦平面快门,触摸屏,5472×3648,2020万,噪音 声音 菜单功能 按键 功能
281,入门单反,2499,APS画幅（23.5*15.6mm）,,CMOS,尼康D3400套机(18-55mm VR),电子控制纵走式焦平面快门,,,2416万,工艺 做工 设计 续航 电池
282,消费，卡片,2599,1/1.7英寸,,CMOS,卡西欧TR550,电子快门,高清屏,4000×3000,1110万,手感 触感 握感 握把 握持 质感 手柄
283,高端单反,9499,全画幅（35.8*23.9mm）,自动，手动，添加除尘数据,CMOS,佳能6D套机(24-70mm F4),电子控制焦平面快门,高清屏,5472×3648,2020万,手感 触感 握感 握把 握持 质感 手柄 菜单功能 按键 功能 追焦 追踪 外壳 机身 质地 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 夜拍 感光 重量 分量
284,旁轴数码,17.9万,全画幅,,CMOS,徕卡M-P钛金版镜头套机,,,5952×3976,2400万,
285,消费，长焦,6999,1/2.33英寸,,CMOS,徕卡V-lux4,机械电子快门,,4000×3000,1210万,体积 厚度 使用体验 使用
286,消费，卡片,1176,1/2.3英寸,,背照式CMOS,尼康S7000,机械电子快门,,4608×3456,1602万,
287,微单,3199,APS画幅（23.6*15.6mm）,,CMOS,富士X-A2套机(XC 16-50mm II),焦平面快门,翻转屏，高清屏,4896×3264,1630万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素
288,消费,4299,APS画幅,,Foveon X3,适马DP3 Quattro,,高清屏,7680×4320,2900万,
289,中端单反,4600,APS画幅（23.7*15.7mm）,"摄像元件""DR II""机构：超声波抖动除尘，具有灰尘警告功能",CMOS,宾得K-5 IIs(单机),电子控制纵走式焦平面快门,高清屏,4928×3264,1628万,手感 触感 握感 握把 握持 质感 手柄 工艺 做工 设计 外壳 机身 质地
290,消费，专业,3998,1英寸,,,松下CM1,,,,2000万,操作 操控性 可玩性 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
291,单电,3899,4/3画幅（17.3*13.0mm）,,Live MOS,奥林巴斯E-M10 II(单机),焦平面快门,触摸屏，旋转屏,4608×3456,1610万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素
292,消费，长焦，广角,1399,1/2.3英寸,,背照式CMOS,佳能SX520 HS,,,4608×3456,1600万,
293,微单,2.38万,35.9x23.9mm,图像传感器格式：FX,CMOS,尼康Z6套机(24-70mm，32GXQD，卡口适配器 FTZ),,翻转触控屏,,2450万,操作 操控性 可玩性
294,中端单反,6879,APS画幅（23.5*15.6mm）,,CMOS,尼康D7200套机(18-300mm),电子控制纵走式焦平面快门,高清屏,6000×4000,2416万,手感 触感 握感 握把 握持 质感 手柄 操作 操控性 可玩性 重量 分量 结构 外形 外观 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
295,微单,概念产品,全画幅（24*36mm）,,CMOS,徕卡SL2,,触摸屏,6000×4000,2400万,
296,微单,2.43万,全画幅（35.9*24mm）,,Exmor R CMOS,索尼A7RIII套机(FE 24-105mm G OSS),电子控制纵走式焦平面快门,触摸屏，旋转屏,,4240万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 外壳 机身 质地 携带 便携性
297,旁轴数码,5.42万,全画幅,,CMOS,徕卡M-P(Typ 240),,,5952×3976,2400万,工艺 做工 设计
298,高端单反,8650,APS画幅（22.3*14.9mm）,"长宽比：3:2 
除尘功能：自动，手动，添加除尘数据",CMOS,佳能7D套机(15-85mm),电子控制纵走式焦平面快门,高清屏,5184×3456,1800万,结构 外形 外观 菜单功能 按键 功能
299,卡片，三防,3099,1/2.33英寸,,背照式CMOS,奥林巴斯TG-5,,彩色LCD显示屏,4000×3000,1200万,
300,消费，卡片，长焦，广角,1388,1/2.3英寸,,背照式CMOS,佳能SX610HS,,,5184×3888,2020万,
301,消费,1199,1/2.3英寸,,背照式CMOS（Exmor R CMOS）,索尼QX10,,,4896×3672,1820万,使用体验 使用 携带 便携性
302,微单,价格面议,APS-C画幅（23.6*15.6mm）,,CMOS,富士X-A20,电子控制纵走式焦平面快门,触摸屏，旋转屏,4896×3264,1630万,结构 外形 外观
303,高端单反,2.48万,全画幅（35.9*24mm）,清洁影像传感器，图像除尘参考数据（需要“捕影工匠”软件）,CMOS,尼康D810套机(24-70mm),电子控制纵走式焦平面快门，电子前帘快门（适用于反光板弹起释放模式）,高清屏,7360×4912,3635万,手感 触感 握感 握把 握持 质感 手柄 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 防抖性 防抖 机震 手握 持握 夜拍 感光 体积 厚度 噪音 声音
304,单电,8999,4/3画幅（17.3*13mm）,,Live MOS,奥林巴斯E-M5 II套机(12-40mm),电子控制焦平面快门,触摸屏，旋转屏，高清屏,4608×3456,1610万,结构 外形 外观
305,消费，长焦，广角,1699,1/2.3英寸,,CMOS,富士S9900W,,高清屏,4608×3456,1620万,菜单功能 按键 功能
306,消费，长焦，广角,2380,1/2.3英寸,,背照式CMOS,尼康P600,机械电子快门,高清屏,4608×3456,1605万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 操作 操控性 可玩性
307,中端单反,7199,APS画幅（22.5*15mm）,除尘功能：自动，手动，添加除尘数据,CMOS,佳能70D套机(18-200mm IS),电子控制焦平面快门,触摸屏，旋转屏，高清屏,5472×3648,2020万,操作 操控性 可玩性 手感 触感 握感 握把 握持 质感 手柄 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 工艺 做工 设计
308,微单,2595,4/3画幅（17.3*13mm）,超声波除尘（传感器除尘系统）,Live MOS,奥林巴斯E-PL6套机(14-42mm II R),电子控制焦平面快门,触摸屏，旋转屏，高清屏,4608×3456,1610万,
309,旁轴数码,10.2万,24×36mm,全画幅CMOS传感器,CMOS,徕卡M10套机(28mm f/1.4),,,5976×3992,2400万,
310,,30.9万,中画幅（53.7*40.4mm）,,CCD,飞思IQ380MP,电子控制纵走式焦平面快门,触摸屏,,,
311,入门单反,3599,APS画幅（22.3*14.9mm）,自动，手动，添加除尘数据,CMOS,佳能700D套机(EF-S 18-55mm STM),电子控制焦平面快门,触摸屏，高清屏,5184×3456,1800万,携带 便携性 手感 触感 握感 握把 握持 质感 手柄 外壳 机身 质地 操作 操控性 可玩性 结构 外形 外观
312,消费,2288,1英寸,,CMOS,佳能G9 X,,,,2020万,
313,微单,8055,4/3画幅,新维纳斯引擎,Live MOS,松下G95(G90)单机,电子快门,旋转屏,,2030万,
314,消费，长焦，广角,1300,1/2.3英寸,,CMOS,卡西欧ZR1200,机械电子快门,旋转屏，高清屏,4608×3456,,菜单功能 按键 功能 重量 分量 结构 外形 外观
315,中端单反,6799,APS-C画幅（22.3*14.9mm）,,CMOS,佳能EOS 77D套机(18-200mm IS),电子控制纵走式焦平面快门,触摸屏,6000×4000,2420万,
316,微单,5999,APS-C画幅（22.3*14.9mm）,"长宽比：3:2
防尘功能：自动，手动，添加除尘数据",CMOS,佳能EOS M50套机(EF-M 15-45mm，EF-M 55-200mm IS STM),电子控制焦平面快门,旋转屏，触摸屏,,2410万,操作 操控性 可玩性 手感 触感 握感 握把 握持 质感 手柄 体积 厚度 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 工艺 做工 设计 携带 便携性 菜单功能 按键 功能
317,消费，长焦，广角,7559,1英寸（13.2*8.8mm）,,Exmor RS CMOS,索尼RX10 II,电子快门,旋转屏,5472×3648,2020万,菜单功能 按键 功能
318,消费，卡片,825,1/2.3英寸,,CCD,佳能IXUS 185,,LCD屏,5152×3864,2000万,
319,入门单反,7259,APS画幅（22.3*14.9mm）,除尘功能：自动，手动，添加除尘数据,CMOS,佳能760D套机(18-200mm),电子控制焦平面快门,高清屏,6000×4000,2420万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 外壳 机身 质地 工艺 做工 设计 操作 操控性 可玩性 结构 外形 外观
320,微单,1499,1英寸（13.2*8.8mm）,颜色滤镜：RGB 原色滤镜,背照式CMOS,三星NX mini套机(9mm),,触摸屏，旋转屏，高清屏,5472×3648,2050万,携带 便携性 结构 外形 外观
321,微单，无反,6790,APS画幅,"APS-C X-Trans CMOS 4
传感器清洁系统：超声波振动",CMOS,富士X-T30套机(XC15-45mm),机械快门,触控翻折屏,,2610万,
322,消费，长焦，广角,2099,1/2.3英寸,,CMOS,尼康P610s,机械电子快门,高清屏,4608×3456,1605万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 菜单功能 按键 功能 防抖性 防抖 机震
323,微单,1.52万,全画幅（35.9*24mm）,长宽比：3：2,Exmor R CMOS,索尼A7RII套机(FE 24-70mm ZA OSS),电子控制纵走式焦平面快门,旋转屏,,4240万,外壳 机身 质地 防抖性 防抖 机震
324,微单,2399,,,CMOS,小米小蚁M1套机(12-40mm),电子控制纵走式焦平面快门,触摸屏,5184×3888,2016万,外壳 机身 质地
325,消费，卡片，长焦,799,1/2.3英寸,,背照式CMOS,佳能IXUS 265 HS,,高清屏,4608×3456,1600万,
326,4/3系统数码单电,4200,4/3画幅（17.3*13mm）,"彩色滤镜：基色滤镜
防尘系统：超声波滤镜",Live MOS,松下GX7(单机),焦平面快门,旋转屏，高清屏,4592×3448,1600万,菜单功能 按键 功能
327,消费，长焦，广角,1899,1/2.3英寸,,背照式CMOS,爱国者H100,机械电子快门,旋转屏，高清屏,4896×3672,1847万,重量 分量 使用体验 使用
328,中端单反,8600,APS-C画幅（23.5*15.7mm）,,CMOS,尼康D7500套机(18-200 VR II),电子控制纵走式焦平面快门，电子前帘快门（适用于反光板弹起释放模式）,触摸屏，旋转屏,5568×3712,2088万,追焦 追踪 手感 触感 握感 握把 握持 质感 手柄
329,高端单反,9199,全画幅（35.9*24mm）,清洁影像传感器、图像除尘参考数据（需要捕影工匠软件）,CMOS,尼康D750套机(24-85mm),电子控制纵走式焦平面快门,翻转屏，高清屏,6016×4016,2432万,手感 触感 握感 握把 握持 质感 手柄 菜单功能 按键 功能 外壳 机身 质地 工艺 做工 设计 体积 厚度 操作 操控性 可玩性 追焦 追踪
330,高端单反,1.75万,全画幅（36*24mm）,自动，手动，添加除尘数据,CMOS,佳能5Ds R套机(50mm f/1.4 USM),电子控制焦平面快门,高清屏,8688×5792,5060万,
331,微单,3070,1英寸（13.2*8.8mm）,,CMOS,尼康V3(单机),电子控制纵走式焦平面快门，电子快门,触摸屏，翻转屏，高清屏,5232×3488,1839万,
332,微单,2099,APS画幅（23.5*15.7mm）,,CMOS,三星NX3000套机(20-50mm，SEF-8闪光灯),,旋转屏,5472×3648,2030万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 外壳 机身 质地 续航 电池
333,长焦,1588,1/2.3英寸,,CCD,佳能SX430 IS,,LCD屏,5152×3864,2000万,
334,高端单反,1.85万,全画幅（36*24mm）,自动，手动，添加除尘数据,CMOS,佳能5D Mark III套机(24-70mm II),电子控制焦平面快门,高清屏,5760×3840,2230万,使用体验 使用 操作 操控性 可玩性 蒙皮 风格 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 菜单功能 按键 功能 工艺 做工 设计 手感 触感 握感 握把 握持 质感 手柄
335,高端单反,8598,全画幅（35.9*24mm）,清洁图像传感器、图像除尘参考数据（需要另购的Capture NX 2 软件）,CMOS,尼康D610套机(24-85mm),电子控制纵走式焦平面快门,高清屏,6016×4016,2426万,外壳 机身 质地 菜单功能 按键 功能 手感 触感 握感 握把 握持 质感 手柄 工艺 做工 设计 操作 操控性 可玩性
336,微单,1.37万,,"带原色滤镜的23.5mm×15.6mm(APS-C) X-Trans CMOS 4
传感器清洁系统：超声波振动",CMOS,富士X-T3套机(XF 18-135mm),焦平面快门,触摸彩色液晶显示屏（约100％视野率）,,2610万,体积 厚度
337,微单,4499,APS-C画幅（22.3*14.9mm）,,CMOS,佳能EOS M5套机(15-45mm IS STM),电子控制纵走式焦平面快门,触摸屏，旋转屏,,2420万,工艺 做工 设计 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 手感 触感 握感 握把 握持 质感 手柄 体积 厚度 使用体验 使用 外壳 机身 质地
338,消费,2999,APS画幅（23.2*15.4mm）,,Exmor APS HD CMOS,索尼ILCE-QX1(单机),电子控制纵走式焦平面快门,,,2010万,续航 电池
339,微单,2999,13.2×8.8mm,传感器格式：CX,背照式CMOS,尼康1 J5套机(VR 10-100mm f/4.0-5.6),电子快门,触摸屏，旋转屏,,2081万,操作 操控性 可玩性
340,微单,4299,4/3画幅（17.3*13mm）,,Live MOS,松下GF8套机(12-32mm，35-100mm),电子控制纵走式焦平面快门,触摸屏，翻转屏，高清屏,,1600万,
341,微单,1.53万,APS-C画幅（23.6*15.7mm）,,CMOS,徕卡TL2,电子快门,触摸屏,6000×4000,2400万,
342,消费，专业,659,1/2.3英寸,,CCD,尼康A100,机械电子快门,高清屏,5152×3864,2005万,
343,消费，长焦，广角,799,1/2.3英寸,,CCD,佳能SX400 IS,,,4608×3456,1600万,
344,消费，长焦,3580,1/2.3英寸,20万像素,CMOS,柯达AZ901,,旋转屏,,2068万,
345,消费，卡片,899,1/2.3英寸,,CCD,佳能IXUS 190,,LCD屏,5152×3864,2000万,菜单功能 按键 功能
346,微单,2430,APS画幅（23.5*15.7mm）,RGB 原色滤镜,CMOS,三星NX2000套机(20-50mm II),电子控制垂直焦平面快门,触摸屏，高清屏,5472×3648,2030万,结构 外形 外观 操作 操控性 可玩性
347,消费，长焦，广角,1109,1/2.3英寸,,CCD,佳能SX410,,,5152×3864,2000万,
348,消费，长焦,2399,1/2.3英寸,,Exmor R CMOS,索尼QX30,,,5184×3456,2040万,工艺 做工 设计
349,专业，双反，胶片相机,4.6万,,,,禄来2.8FX,,,,,
350,消费，专业,5499,APS画幅（23.6*15.8mm）,,X-Trans CMOS II,富士X100s黑色版,,,4896×3264,1630万,
351,消费，卡片,1588,1/1.7英寸,,背照式CMOS,卡西欧TR500,机械快门,触摸屏，旋转屏,4000×3000,1110万,手感 触感 握感 握把 握持 质感 手柄
352,微单,8.49万,中画幅（43.8*32.9mm）,,CMOS,哈苏X1D-50C套机(XCD 45mm)黑色纪念版,,触摸屏,,5000万,
353,微单,7.39万,全画幅（24*36mm）,,CMOS,徕卡SL套机(24-90mm),,触摸屏,6000×4000,2400万,
354,高端单反,1.2万,全画幅（35.9*24mm）,清洁图像传感器、图像除尘参考数据（需要另购的Capture NX 2 软件）,CMOS,尼康D610套机(24-120mm),电子控制纵走式焦平面快门,高清屏,6016×4016,2426万,外壳 机身 质地 菜单功能 按键 功能 手感 触感 握感 握把 握持 质感 手柄 工艺 做工 设计 操作 操控性 可玩性
355,微单,价格面议,APS-C画幅,,,佳能EOS M5 Mark II,,,,,
356,微单,5799,APS-C画幅（23.6*15.6mm）,,X-Trans CMOS III,富士X-T20套机(XC 16-50mm II),电子控制纵走式焦平面快门,旋转屏,,2430万,操作 操控性 可玩性 体积 厚度 手感 触感 握感 握把 握持 质感 手柄
357,微单,3888,APS-C画幅（23.5*15.7mm）,,CMOS,富士X-A5套机(XC 15-45mm),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,
358,单电,7899,APS画幅（23.5*15.6mm）,,Exmor APS HD CMOS,索尼A77 II(单机),电子控制纵走式焦平面快门,翻转屏，高清屏,6000×4000,2430万,使用体验 使用 噪音 声音
359,微单,价格面议,,,DPAF,佳能850D,,,,2410万,
360,单反,2799,22.3×14.9mm,,CMOS,佳能1500D套机(EF-S 18-55mm IS II),电子控制纵走式焦平面快门,,,2410万,
361,消费，卡片,4199,1/1.7英寸,,CMOS,卡西欧TR600,电子快门,触摸屏，旋转屏,4000×3000,1110万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素
362,消费，广角，专业,2388,,,背照式CMOS,佳能S120,,,,1210万,
363,入门单反,2399,APS画幅（23.2*15.4mm）,影像感应器清洁，影像除尘参照数据（需要可选择的Capture NX 2软件）,CMOS,尼康D3200套机(18-55mm),电子控制纵走式焦平面快门,高清屏,6016×4000,2416万,工艺 做工 设计 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 外壳 机身 质地
364,4/3系统数码微单,2999,4/3画幅（17.3*13mm）,,Live MOS,松下GM1套机(12-32mm),电子控制焦平面快门，电子快门,触摸屏，高清屏,,1600万,体积 厚度 菜单功能 按键 功能
365,微单,3299,4/3画幅（17.3*13mm）,除尘系统：超声波除尘（传感器除尘系统）,Live MOS,奥林巴斯E-PL7套机(14-42mm EZ),电子控制焦平面快门,触摸屏，翻转屏,4608×3456,1610万,工艺 做工 设计
